RSSI;Distance
-61;5
-61;5
-86;100
-86;100
-86;100
-67;25
-67;25
-67;25
-67;25
-67;25
-78;75
-79;75
-78;75
-79;75
-79;75
-79;75
-79;75
-79;75
-79;75
-78;75
-80;75
-80;75
-80;75
-80;75
-79;75
-78;75
-79;75
-78;75
-79;75
-78;75
-79;75
-79;75
-78;75
-79;75
-78;75
-78;75
-78;75
-79;75
-80;75
-78;75
-79;75
-79;75
-80;75
-79;75
-79;75
-80;75
-78;75
-80;75
-78;75
-78;75
-67;25
-67;25
-67;25
-66;25
-67;25
-67;25
-68;25
-66;25
-67;25
-67;25
-67;25
-67;25
-67;25
-67;25
-67;25
-67;25
-67;25
-67;25
-67;25
-67;25
-67;25
-67;25
-67;25
-68;25
-67;25
-86;100
-86;100
-87;100
-86;100
-86;100
-85;100
-86;100
-85;100
-83;90
-83;90
-84;90
-83;90
-82;90
-71;50
-71;50
-70;50
-70;50
-70;50
-71;50
-71;50
-70;50
-70;50
-70;50
-71;50
-69;50
-70;50
-71;50
-70;50
-71;50
-71;50
-70;50
-71;50
-70;50
-71;50
-70;50
-70;50
-70;50
-70;50
-70;50
-71;50
-70;50
-70;50
-70;50
-70;50
-71;50
-71;50
-70;50
-71;50
-71;50
-71;50
-71;50
-71;50
-71;50
-70;50
-70;50
-71;50
-71;50
-71;50
-71;50
-70;50
-70;50
-71;50
-71;50
-70;50
-71;50
-71;50
-71;50
-72;50
-70;50
-71;50
-72;50
-71;50
-70;50
-70;50
-71;50
-70;50
-70;50
-70;50
-70;50
-70;50
-70;50
-70;50
-71;50
-71;50
-70;50
-72;50
-71;50
-70;50
-72;50
-71;50
-71;50
-71;50
-71;50
-71;50
-71;50
-71;50
-71;50
-70;50
-71;50
-71;50
-71;50
-71;50
-71;50
-71;50
-71;50
-71;50
-71;50
-71;50
-70;50
-70;50
-71;50
-71;50
-71;50
-70;50
-71;50
-71;50
-71;50
-71;50
-72;50
-71;50
-71;50
-72;50
-71;50
-70;50
-70;50
-71;50
-71;50
-71;50
-71;50
-71;50
-70;50
-70;50
-71;50
-71;50
-72;50
-71;50
-71;50
